Latency,Interval
18446744056030302208,0
18446744056030302208,0
18446744056030300160,18446744073709549568
18446744056030300160,0
18446744056030300160,0
18446744056030298112,18446744073709549568
18446744056030298112,0
18446744056030298112,0
18446744056030298112,0
18446744056030296064,18446744073709549568
18446744056030296064,0
18446744056030294016,18446744073709549568
18446744056030294016,0
18446744056030294016,0
18446744056030291968,18446744073709549568
18446744056030291968,0
18446744056030291968,0
18446744056030289920,18446744073709549568
18446744056030289920,0
18446744056030289920,0
18446744056030287872,18446744073709549568
18446744056030287872,0
18446744056030285824,18446744073709549568
18446744056030285824,0
18446744056030285824,0
18446744056030283776,18446744073709549568
18446744056030283776,0
18446744056030283776,0
18446744056030281728,18446744073709549568
18446744056030281728,0
18446744056030281728,0
18446744056030279680,18446744073709549568
18446744056030279680,0
18446744056030277632,18446744073709549568
18446744056030277632,0
18446744056030277632,0
18446744056030275584,18446744073709549568
18446744056030275584,0
18446744056030275584,0
18446744056030273536,18446744073709549568
18446744056030273536,0
18446744056030271488,18446744073709549568
18446744056030271488,0
18446744056030271488,0
18446744056030269440,18446744073709549568
18446744056030269440,0
18446744056030269440,0
18446744056030267392,18446744073709549568
18446744056030267392,0
18446744056030267392,0
18446744056030265344,18446744073709549568
18446744056030265344,0
18446744056030265344,0
18446744056030263296,18446744073709549568
18446744056030263296,0
18446744056030263296,0
18446744056030263296,0
18446744056030261248,18446744073709549568
18446744056030261248,0
18446744056030259200,18446744073709549568
18446744056030259200,0
18446744056030259200,0
18446744056030257152,18446744073709549568
18446744056030257152,0
18446744056030257152,0
18446744056030255104,18446744073709549568
18446744056030255104,0
18446744056030255104,0
18446744056030253056,18446744073709549568
18446744056030253056,0
18446744056030251008,18446744073709549568
18446744056030251008,0
18446744056030251008,0
18446744056030248960,18446744073709549568
18446744056030248960,0
18446744056030246912,18446744073709549568
18446744056030246912,0
18446744056030246912,0
18446744056030246912,0
18446744056030244864,18446744073709549568
18446744056030244864,0
18446744056030244864,0
18446744056030242816,18446744073709549568
18446744056030242816,0
18446744056030242816,0
18446744056030240768,18446744073709549568
18446744056030240768,0
18446744056030238720,18446744073709549568
18446744056030238720,0
18446744056030238720,0
18446744056030236672,18446744073709549568
18446744056030236672,0
18446744056030234624,18446744073709549568
18446744056030234624,0
18446744056030234624,0
18446744056030232576,18446744073709549568
18446744056030232576,0
18446744056030232576,0
18446744056030230528,18446744073709549568
18446744056030230528,0
18446744056030228480,18446744073709549568
18446744056030228480,0
18446744056030228480,0
18446744056030226432,18446744073709549568
18446744056030226432,0
18446744056030226432,0
18446744056030224384,18446744073709549568
18446744056030224384,0
18446744056030224384,0
18446744056030222336,18446744073709549568
18446744056030222336,0
18446744056030222336,0
18446744056030222336,0
18446744056030220288,18446744073709549568
18446744056030220288,0
18446744056030220288,0
18446744056030218240,18446744073709549568
18446744056030218240,0
18446744056030216192,18446744073709549568
18446744056030216192,0
18446744056030216192,0
18446744056030214144,18446744073709549568
18446744056030214144,0
18446744056030214144,0
18446744056030212096,18446744073709549568
18446744056030212096,0
18446744056030210048,18446744073709549568
18446744056030210048,0
18446744056030210048,0
18446744056030208000,18446744073709549568
18446744056030208000,0
18446744056030205952,18446744073709549568
18446744056030205952,0
18446744056030205952,0
18446744056030203904,18446744073709549568
18446744056030203904,0
18446744056030203904,0
18446744056030201856,18446744073709549568
18446744056030201856,0
18446744056030201856,0
18446744056030199808,18446744073709549568
18446744056030199808,0
18446744056030197760,18446744073709549568
18446744056030197760,0
18446744056030197760,0
18446744056030195712,18446744073709549568
18446744056030195712,0
18446744056030195712,0
18446744056030195712,0
18446744056030195712,0
18446744056030193664,18446744073709549568
18446744056030193664,0
18446744056030191616,18446744073709549568
18446744056030191616,0
18446744056030191616,0
18446744056030189568,18446744073709549568
18446744056030189568,0
18446744056030187520,18446744073709549568
18446744056030187520,0
18446744056030187520,0
